country,population
China, 1439324
India, 1380004
United States of America,  331003
Indonesia,  273524
Pakistan,  220892
Brazil,  212559
Nigeria,  206140
Bangladesh,  164689
Russian Federation,  145934
Mexico,  128933
Japan,  126476
Ethiopia,  114964
Philippines,  109581
Egypt,  102334
Viet Nam,  97339
Democratic Republic of the Congo,  89561
Turkey,  84339
Iran,  83993
Germany,  83784
Thailand,  69800
United Kingdom,  67886
France,  65274
Italy,  60462
United Republic of Tanzania,  59734
South Africa,  59309
Myanmar,  54410
Kenya,  53771
Republic of Korea,  51269
Colombia,  50883
Spain,  46755
Uganda,  45741
Argentina,  45196
Algeria,  43851
Sudan,  43849
Ukraine,  43734
Iraq,  40223
Afghanistan,  38928
Poland,  37847
Canada,  37742
Morocco,  36911
Saudi Arabia,  34814
Uzbekistan,  33469
Peru,  32972
Angola,  32866
Malaysia,  32366
Mozambique,  31255
Ghana,  31073
Yemen,  29826
Nepal,  29137
Venezuela (Bolivarian Republic of),  28436
Madagascar,  27691
Cameroon,  26546
Côte d'Ivoire,  26378
Australia,  25500
Niger,  24207
Sri Lanka,  21413
Burkina Faso,  20903
Mali,  20251
Romania,  19238
Malawi,  19130
Chile,  19116
Kazakhstan,  18777
Zambia,  18384
Guatemala,  17916
Ecuador,  17 643
Syrian Arab Republic,  17501
Netherlands,  17135
Senegal,  16744
Cambodia,  16719
Chad,  16426
Somalia,  15893
Zimbabwe,  14863
Guinea,  13133
Rwanda,  12952
Benin,  12123
Burundi,  11891
Tunisia,  11819
Bolivia (Plurinational State of),  11673
Belgium,  11590
Haiti,  11403
Cuba,  11327
South Sudan,  11194
Dominican Republic,  10848
Czechia,  10709
Greece,  10423
Jordan,  10203
Portugal,  10197
Azerbaijan,  10139
Sweden,  10099
Honduras,  9 905
United Arab Emirates,  9890
Hungary,  9660
Tajikistan,  9538
Belarus,  9449
Austria,  9006
Papua New Guinea,  8947
Serbia,  8737
Israel,  8656
Switzerland,  8655
Togo,  8279
Sierra Leone,  7977
Lao People's Democratic Republic,  7276
Paraguay,  7133
Bulgaria,  6948
Libya,  6871
Lebanon,  6825
Nicaragua,  6625
Kyrgyzstan,  6524
El Salvador,  6486
Turkmenistan,  6031
Singapore,  5850
Denmark,  5792
Finland,  5541
Congo,  5518
Slovakia,  5460
Norway,  5421
Oman,  5107
State of Palestine,  5101
Costa Rica,  5094
Liberia,  5058
Ireland,  4938
Central African Republic,  4830
New Zealand,  4822
Mauritania,  4650
Panama,  4315
Kuwait,  4271
Croatia,  4105
Republic of Moldova,  4034
Georgia,  3989
Eritrea,  3546
Uruguay,  3474
Bosnia and Herzegovina,  3281
Mongolia,  3278
Armenia,  2963
Jamaica,  2961
Qatar,  2881
Albania,  2878
Puerto Rico,  2861
Lithuania,  2722
Namibia,  2541
Gambia,  2417
Botswana,  2352
Gabon,  2226
Lesotho,  2142
North Macedonia,  2083
Slovenia,  2079
Guinea-Bissau,  1968
Latvia,  1886
Bahrain,  1702
Equatorial Guinea,  1403
Trinidad and Tobago,  1399
Estonia,  1327
Timor-Leste,  1318
Mauritius,  1272
Cyprus,  1207
Eswatini,  1160
Djibouti,   988
Fiji,   896
Réunion,   895
Comoros,   870
Guyana,   787
Bhutan,   772
Solomon Islands,   687
Montenegro,   628
Luxembourg,   626
Western Sahara,   597
Suriname,   587
Cabo Verde,   556
Maldives,   541
Malta,   442
Brunei Darussalam,   437
Guadeloupe,   400
Belize,   398
Bahamas,   393
Martinique,   375
Iceland,   341
Vanuatu,   307
French Guiana,   299
Barbados,   287
New Caledonia,   285
French Polynesia,   281
Mayotte,   273
Sao Tome and Principe,   219
Samoa,   198
Saint Lucia,   184
Channel Islands,   174
Guam,   169
Curaçao,   164
Kiribati,   119
Micronesia (Fed. States of),   115
Grenada,   113
Saint Vincent and the Grenadines,   111
Aruba,   107
Tonga,   106
United States Virgin Islands,   104
Seychelles,   98
Antigua and Barbuda,   98
Isle of Man,   85
Andorra,   77
Dominica,   72
Cayman Islands,   66
Bermuda,   62
Marshall Islands,   59
Northern Mariana Islands,   58
Greenland,   57
American Samoa,   55
Saint Kitts and Nevis,   53
Faroe Islands,   49
Sint Maarten (Dutch part),   43
Monaco,   39
Turks and Caicos Islands,   39
Saint Martin (French part),   39
Liechtenstein,   38
San Marino,   34
Gibraltar,   34
British Virgin Islands,   30
Bonaire, Sint Eustatius and Saba,   26
Palau,   18
Cook Islands,   18
Anguilla,   15
Tuvalu,   12
Wallis and Futuna Islands,   11
Nauru,   11
Saint Barthélemy,   10
Saint Helena,   6
Saint Pierre and Miquelon,   6
Montserrat,   5
Falkland Islands (Malvinas),  3
Niue,   2
Tokelau,   1
Holy See,   1